epic,gaia_source,[C/Fe],e_[C/Fe],f_[C/Fe],[O/Fe],e_[O/Fe],f_[O/Fe],[Mg/Fe],e_[Mg/Fe],f_[Mg/Fe],[Si/Fe],e_[Si/Fe],f_[Si/Fe],[Fe/H],e_[Fe/H],f_[Fe/H],ages,ruwe,[Si/H],[Mg/H],[C/H],[O/H],e_[Si/H],e_[Mg/H],e_[C/H],e_[O/H],[Mg/Si],e_[Mg/Si],[Si/Mg],e_[Si/Mg],[C/O],e_[C/O],[Fe/Si],A(Si),A(Mg),A(C),A(O),si_moles,mg_moles,fe_moles,c_moles,o_moles,[Mg/Si]_abs,[C/O]_abs,u_w_2,halo_flag
211313473,601308379357640064,-0.1634,0.046,0,0.1692,0.0577,0,0.0345999999999999,0.0315,0,0.1755,0.0394,0,-0.5373,0.0179,0,4.6,1.0467597,-0.3618,-0.5027,-0.7007,-0.3681,0.0419564115387067,0.0456229537914719,0.0983221671543556,0.0591564408209395,-0.1409,0.1427193132482491,0.1409,0.1427193132482491,-0.3326,0.2642133173213815,-0.1755,7.1482,7.0273,7.6893,8.2919,14066951.820610384,10648783.561269635,8178996.079175055,48899002.5046493,195839368.47755083,0.7570071822999654,0.2496893392007369,124.65976816920524,0
211024942,53683109767385344,0.0099999999999999,0.0577,0,0.0576,0.0615,0,0.0221999999999999,0.0555,0,0.1488,0.0595,0,-0.0831,0.0265,32,4.8,1.0529794,0.0657,-0.0608999999999999,-0.0731,-0.0254999999999999,0.0664510828976065,0.0805626273021205,0.0855561389830344,0.0820995506079273,-0.1266,0.240464015254484,0.1266,0.240464015254484,-0.0476,0.2730305663642141,-0.1488,7.575699999999999,7.4691,8.3169,8.634500000000001,37644367.107364506,29450996.89996018,23275552.56554283,207443580.5962136,431022558.0049966,0.7823480420314617,0.4812824218676017,41.06279216030006,0
211768004,656594297904943872,0.071,0.0385,0,0.3983,0.0504,0,-0.0376999999999999,0.025,0,0.0735,0.0318,0,-0.5458,0.0152,0,7.5,0.9858217,-0.4722999999999999,-0.5834999999999999,-0.4747999999999999,-0.1474999999999999,0.0416104204184445,0.042172674004038,0.0495553760766061,0.032795737707881,-0.1111999999999999,0.1364164885598805,0.1111999999999999,0.1364164885598805,-0.3273,0.1368304427086629,-0.0735,7.0377,6.9465,7.9152,8.5125,10906866.56515973,8840971.692004962,8020473.34800666,82262139.3883111,325461783.4980453,0.8105876824647379,0.252755142260213,67.10401552813363,0
212115699,685379065642272640,0.0610999999999999,0.0163,0,0.186,0.0209,0,0.1297,0.0133,0,0.2392,0.0157,0,-0.3097,0.0084,0,7.2,1.1033416,-0.0704999999999999,-0.1799999999999999,-0.2486,-0.1236999999999999,0.015526410473862,0.0165277350767523,0.0220892041106016,0.0213683950064135,-0.1094999999999999,0.0522151697807823,0.1094999999999999,0.0522151697807823,-0.1249,0.0707662450155301,-0.2392,7.4395,7.35,8.1414,8.5363,27510596.04990364,22387211.385683425,13813381.296873668,138484127.77219853,343795351.30949193,0.8137668607787886,0.4028097740260954,55.06541019551203,0
211959925,661152563874654208,-0.0272,0.0316,0,0.2202,0.0335,0,0.1326,0.0251,0,0.2216,0.0306,0,-0.6076,0.0164,0,8.7,1.0621516,-0.386,-0.475,-0.6348,-0.3874,0.0311668415729302,0.0313207135285151,0.0512316083049414,0.0334105207731872,-0.089,0.1017408918478255,0.089,0.1017408918478255,-0.2474,0.1408335394503576,-0.2216,7.124,7.055000000000001,7.7552,8.2726,13304544.1797809,11350108.156723166,6956647.535283527,56911495.76288414,187326836.9344215,0.8531001140175912,0.3038085556465539,57.7035466847576,0
201391187,3791857442582709248,-0.0201999999999999,0.0521,0,0.0031999999999999,0.072,0,0.0376999999999999,0.0291,0,0.121,0.0363,0,-0.7076,0.0156,0,8.1,1.0087947,-0.5866,-0.6699,-0.7278,-0.7044,0.0425947165129185,0.0415328056041307,0.0802734624345818,0.1042848888215046,-0.0833,0.1369851166272434,0.0833,0.1369851166272434,-0.0233999999999999,0.3030255068027591,-0.121,6.9234,6.8601,7.6622,7.9556,8383010.304515523,7246027.868251422,5525861.556300781,45940953.00365841,90281756.49662578,0.864370626426206,0.5088619759560772,43.91045092002586,0
211968090,661169537585408896,0.0256999999999999,0.0417,0,0.3814,0.0505,0,0.0262,0.0261,0,0.0995,0.0316,0,-0.7752,0.0148,0,1.4,1.1250037,-0.6757,-0.749,-0.7495,-0.3938,0.0391589959524426,0.0384153041694063,0.0586032224816487,0.0336977545190952,-0.0733,0.1263102263582404,0.0733,0.1263102263582404,-0.3557,0.1556567337378892,-0.0995,6.8343,6.781000000000001,7.6405,8.2662,6828101.998468726,6039486.293763806,4729334.149186521,43701867.90706137,184586527.5851292,0.8845044047552636,0.2367554581517687,52.851596948436665,0
251540620,3638099842473216000,-0.3492,0.027,0,0.2579,0.0288,0,0.0057,0.0197,0,0.0782,0.022,0,-0.8574,0.0111,0,5.3,0.99593437,-0.7792,-0.8517,-1.2066,-0.5995,0.0287393392433133,0.0301668878629581,0.0877487845686349,0.0254878800097164,-0.0725,0.0959377196031721,0.0725,0.0959377196031721,-0.6071000000000001,0.2103998543424041,-0.0782,6.7307999999999995,6.6783,7.183400000000001,8.0605,5380219.571891116,4767602.07367496,3913812.3561221194,15254571.04886326,114947624.3419833,0.8861352236595013,0.1327088849046504,70.16769128309696,0
204564857,6243520020340961280,-0.0767999999999999,0.0235,0,0.0866,0.0332,0,0.0023999999999999,0.0183,0,0.0747,0.0243,0,-0.0594,0.0128,0,4.7,1.0322471,0.0153,-0.057,-0.1362,0.0271999999999999,0.0321734018129993,0.0292097281439005,0.0424379095313471,0.0412734961304705,-0.0723,0.1000588081250112,0.0723,0.1000588081250112,-0.1634,0.1363098801309946,-0.0747,7.5253,7.473,8.2538,8.6872,33519690.502216253,29716660.317380253,24581025.650893435,179390731.1734205,486631256.0731996,0.8865433979891744,0.3686379140973968,39.51464159017515,0
212093149,665545456425475968,0.0605999999999999,0.0286,0,0.5414,0.0313,0,0.3206,0.02,0,0.3907,0.0224,0,-0.8909,0.011,0,10.4,0.95555806,-0.5002,-0.5703,-0.8303,-0.3495,0.0171394505002381,0.017640843740521,0.037535277238576,0.0170151310614694,-0.0701,0.056634238559378,0.0701,0.056634238559378,-0.4808,0.0948936557515328,-0.3907,7.0098,6.9597,7.5597,8.3105,10228218.569340454,9113810.62129295,3623264.175531326,36282733.59403352,204408993.6002378,0.8910457436461133,0.1775006713500658,118.84073922691664,0
